year,category,amount,source_file
2020,6.社區發展及環境保護支出,23182519,109c歲入歲出簡明比較分析表.xls
2020,7.退休撫卹支出,146389059,109c歲入歲出簡明比較分析表.xls
2020,8.債務支出,108001400,109c歲入歲出簡明比較分析表.xls
2020,9.補助及其他支出,74117545,109c歲入歲出簡明比較分析表.xls
2021,1.稅課收入,1678542000,110c歲入歲出簡明比較分析表.xls
2021,2.營業盈餘及事業收入,241745475,110c歲入歲出簡明比較分析表.xls
2021,3.規費及罰款收入,79002866,110c歲入歲出簡明比較分析表.xls
2021,4.財產收入,32159855,110c歲入歲出簡明比較分析表.xls
2021,5.其他收入,22067905,110c歲入歲出簡明比較分析表.xls
2021,1.一般政務支出,202632117,110c歲入歲出簡明比較分析表.xls
2021,2.國防支出,347883861,110c歲入歲出簡明比較分析表.xls
2021,3.教育科學文化支出,419185163,110c歲入歲出簡明比較分析表.xls
2021,4.經濟發展支出,247831392,110c歲入歲出簡明比較分析表.xls
2021,5.社會福利支出,558783446,110c歲入歲出簡明比較分析表.xls
2021,6.社區發展及環境保護支出,21118800,110c歲入歲出簡明比較分析表.xls
2021,7.退休撫卹支出,147058701,110c歲入歲出簡明比較分析表.xls
2021,8.債務支出,107973319,110c歲入歲出簡明比較分析表.xls
2021,9.補助及其他支出,83430078,110c歲入歲出簡明比較分析表.xls
2022,1.稅課收入,1903767300,111C歲入歲出簡明比較分析表.xls
2022,2.營業盈餘及事業收入,249224599,111C歲入歲出簡明比較分析表.xls
2022,3.規費及罰款收入,76442853,111C歲入歲出簡明比較分析表.xls
2022,4.財產收入,24853881,111C歲入歲出簡明比較分析表.xls
2022,5.其他收入,12736822,111C歲入歲出簡明比較分析表.xls
2022,1.一般政務支出,211392426,111C歲入歲出簡明比較分析表.xls
2022,2.國防支出,357175406,111C歲入歲出簡明比較分析表.xls
2022,3.教育科學文化支出,448110697,111C歲入歲出簡明比較分析表.xls
2022,4.經濟發展支出,255433838,111C歲入歲出簡明比較分析表.xls
2022,5.社會福利支出,600385096,111C歲入歲出簡明比較分析表.xls
2022,6.社區發展及環境保護支出,26534574,111C歲入歲出簡明比較分析表.xls
2022,7.退休撫卹支出,147485157,111C歲入歲出簡明比較分析表.xls
2022,8.債務支出,107808344,111C歲入歲出簡明比較分析表.xls
2022,9.補助及其他支出,96739359,111C歲入歲出簡明比較分析表.xls
2023,1.稅課收入,2194910000,112C歲入歲出簡明比較分析表.xls
2023,2.營業盈餘及事業收入,264659364,112C歲入歲出簡明比較分析表.xls
2023,3.規費及罰款收入,79355052,112C歲入歲出簡明比較分析表.xls
2023,4.財產收入,25276310,112C歲入歲出簡明比較分析表.xls
2023,5.其他收入,15388096,112C歲入歲出簡明比較分析表.xls
2023,1.一般政務支出,235764303,112C歲入歲出簡明比較分析表.xls
